"","supercluster","cluster","words"
"1","liwc","past","accepted"
"2","liwc","past","admitted"
"3","liwc","past","affected"
"4","liwc","past","appeared"
"5","liwc","past","arrived"
"6","liwc","past","asked"
"7","liwc","past","ate"
"8","liwc","past","became"
"9","liwc","past","been"
"10","liwc","past","began"
"11","liwc","past","believed"
"12","liwc","past","bought"
"13","liwc","past","brought"
"14","liwc","past","called"
"15","liwc","past","came"
"16","liwc","past","cared"
"17","liwc","past","carried"
"18","liwc","past","caught"
"19","liwc","past","changed"
"20","liwc","past","couldve"
"21","liwc","past","could"
"22","liwc","past","cried"
"23","liwc","past","depended"
"24","liwc","past","described"
"25","liwc","past","did"
"26","liwc","past","didnt"
"27","liwc","past","didn"
"28","liwc","past","died"
"29","liwc","past","disliked"
"30","liwc","past","done"
"31","liwc","past","drank"
"32","liwc","past","driven"
"33","liwc","past","drove"
"34","liwc","past","eaten"
"35","liwc","past","emailed"
"36","liwc","past","ended"
"37","liwc","past","entered"
"38","liwc","past","explained"
"39","liwc","past","fed"
"40","liwc","past","felt"
"41","liwc","past","fled"
"42","liwc","past","flew"
"43","liwc","past","followed"
"44","liwc","past","forgot*"
"45","liwc","past","fought"
"46","liwc","past","found"
"47","liwc","past","fucked*"
"48","liwc","past","gave"
"49","liwc","past","given"
"50","liwc","past","gone"
"51","liwc","past","got"
"52","liwc","past","gotten"
"53","liwc","past","guessed"
"54","liwc","past","had"
"55","liwc","past","hadnt"
"56","liwc","past","hadn"
"57","liwc","past","happened"
"58","liwc","past","hated"
"59","liwc","past","heard"
"60","liwc","past","held"
"61","liwc","past","helped"
"62","liwc","past","hoped"
"63","liwc","past","kept"
"64","liwc","past","knew"
"65","liwc","past","lied"
"66","liwc","past","liked"
"67","liwc","past","listened"
"68","liwc","past","lived"
"69","liwc","past","looked"
"70","liwc","past","lost"
"71","liwc","past","loved"
"72","liwc","past","made"
"73","liwc","past","meant"
"74","liwc","past","met"
"75","liwc","past","missed"
"76","liwc","past","moved"
"77","liwc","past","mustve"
"78","liwc","past","must"
"79","liwc","past","needed"
"80","liwc","past","owed"
"81","liwc","past","paid"
"82","liwc","past","played"
"83","liwc","past","ran"
"84","liwc","past","said"
"85","liwc","past","sat"
"86","liwc","past","saw"
"87","liwc","past","seemed"
"88","liwc","past","seen"
"89","liwc","past","sensed"
"90","liwc","past","sent"
"91","liwc","past","shared"
"92","liwc","past","shouldve"
"93","liwc","past","should"
"94","liwc","past","showed"
"95","liwc","past","slept"
"96","liwc","past","sold"
"97","liwc","past","spent"
"98","liwc","past","spoke*"
"99","liwc","past","started"
"100","liwc","past","stayed"
"101","liwc","past","stood"
"102","liwc","past","stopped"
"103","liwc","past","stuck"
"104","liwc","past","studied"
"105","liwc","past","sucked"
"106","liwc","past","suffered"
"107","liwc","past","supported"
"108","liwc","past","supposed"
"109","liwc","past","taken"
"110","liwc","past","talked"
"111","liwc","past","taught"
"112","liwc","past","tended"
"113","liwc","past","thanked"
"114","liwc","past","thought"
"115","liwc","past","threw"
"116","liwc","past","told"
"117","liwc","past","took"
"118","liwc","past","tried"
"119","liwc","past","turned"
"120","liwc","past","understood"
"121","liwc","past","used"
"122","liwc","past","viewed"
"123","liwc","past","waited"
"124","liwc","past","walked"
"125","liwc","past","wanted"
"126","liwc","past","was"
"127","liwc","past","wasnt"
"128","liwc","past","wasn"
"129","liwc","past","went"
"130","liwc","past","were"
"131","liwc","past","weren"
"132","liwc","past","weve"
"133","liwc","past","we"
"134","liwc","past","wished"
"135","liwc","past","woke"
"136","liwc","past","woken"
"137","liwc","past","won"
"138","liwc","past","wondered"
"139","liwc","past","wore"
"140","liwc","past","worked"
"141","liwc","past","worn"
"142","liwc","past","wouldve"
"143","liwc","past","would"
"144","liwc","past","written"
"145","liwc","past","wrote"
"146","liwc","present","admit"
"147","liwc","present","admits"
"148","liwc","present","aint"
"149","liwc","present","ain"
"150","liwc","present","am"
"151","liwc","present","appear"
"152","liwc","present","appears"
"153","liwc","present","are"
"154","liwc","present","arent"
"155","liwc","present","aren"
"156","liwc","present","arrive"
"157","liwc","present","arrives"
"158","liwc","present","ask"
"159","liwc","present","asks"
"160","liwc","present","become"
"161","liwc","present","becomes"
"162","liwc","present","begin"
"163","liwc","present","begins"
"164","liwc","present","believe"
"165","liwc","present","believes"
"166","liwc","present","bring"
"167","liwc","present","brings"
"168","liwc","present","can"
"169","liwc","present","cannot"
"170","liwc","present","cant"
"172","liwc","present","care"
"173","liwc","present","cares"
"174","liwc","present","carries"
"175","liwc","present","carry"
"176","liwc","present","come"
"177","liwc","present","comes"
"178","liwc","present","depends"
"179","liwc","present","describe"
"180","liwc","present","describes"
"181","liwc","present","dies"
"182","liwc","present","dislike"
"183","liwc","present","dislikes"
"184","liwc","present","do"
"185","liwc","present","does"
"186","liwc","present","doesnt"
"187","liwc","present","doesn"
"188","liwc","present","dont"
"189","liwc","present","don"
"190","liwc","present","explain"
"191","liwc","present","explains"
"192","liwc","present","feel"
"193","liwc","present","feels"
"194","liwc","present","follow"
"195","liwc","present","follows"
"196","liwc","present","fuck"
"197","liwc","present","fucks"
"198","liwc","present","get"
"199","liwc","present","gets"
"200","liwc","present","give"
"201","liwc","present","gives"
